"gene_symbol","entrez_human","entrez_rat","entrez_mouse","Unirprot_Human","Uniprot_Rat","Uniprot_mouse","gene_name","synonym","DbTF","pubmed_id","evidence_type","AnimalTFDB","DBD","GOC","JASPAR","ORFeome","Ravasi_et_al","TcoF_DB","TFCat","TFClass_human","TFclass_mouse","Vaquerizas_et_al","pubmed_id_1","taxon","pubmed_id_2","taxon_1","pubmed_id_3","taxon_2","pubmed_id_4","taxon_3","pubmed_id_5","taxon_4","pubmed_id_6","taxon_5","GOC981_select_EC"
"ELF5","2001","366142","13711","A8K443;Q9UKW6","D4A3N9","Q3ULZ4;Q3V1F7;Q8VDK3","E74-like factor 5 (ets domain transcription factor)","ESE2","1","9840936; 10506207","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","10506207","9606","9840936","10090","0","0","0","0","0","0","0","0","981"
"TCF7L2","6934","679869","21416","B4DJZ2;C6ZRJ7;C6ZRJ9;C6ZRK1;C6ZRK2;C6ZRK5;E2GH13;E2GH16;E2GH18;E2GH26;Q6FHW4;Q9NQB0","0","D3YWT3;E9Q990;E9QQ90;E9QQ91;Q80WT9;Q8BS68;Q8CAI6;Q924A0","transcription factor 7-like 2 (T-cell specific; HMG-box)","TCF-4|TCF4","1","9727977; 15576399","Experimental","1","0","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15576399","10090","9727977","9606","0","0","0","0","0","0","0","0","981"
"PLAG1","5324","297804","56711","Q6DJT9","Q5U2T6","Q9QYE0","pleiomorphic adenoma gene 1","PSA|SGPA|ZNF912","1","9722527; 10646861","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","10646861","9606","9722527","9606","0","0","0","0","0","0","0","0","981"
"NKX2-5","1482","114109","18091","P52952","O35767","P42582;Q3UQU2","NK2 homeobox 5","CHNG5|CSX|CSX1|HLHS2|NKX2.5|NKX2E|NKX4-1|VSD3","1","9584181; 10318839","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","10318839","9606;10090","9584181","10090;10116","0","0","0","0","0","0","0","0","981"
"NRF1","4899","312195","18181","Q16656","B1WC04","E9Q7X0;G3XA39;Q3UXF4;Q3UYQ3;Q8C4C0;Q8CAV3;Q99K73;Q9WU00","nuclear respiratory factor 1","ALPHA-PAL","1","9580677; 19674972","Experimental","1","0","1","1","1","1","1","1","TFclass","TFclass_mouse","1","19674972","9606","9580677","10090","0","0","0","0","0","0","0","0","981"
"GATA2","2624","25159","14461","P23769","B2DBE1;Q924Y4","O09100;Q3U320","GATA binding protein 2","DCML|MONOMAC|NFE1B","1","9565596; 14512418","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","14512418","9606;10116","9565596","9606","0","0","0","0","0","0","0","0","981"
"KLF4","9314","114505","16600","O43474","Q923V7","F2YID5;Q60793","Kruppel-like factor 4 (gut)","EZF|GKLF","1","9443972; 9553140; 10556311","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","10556311","10090","9553140","9606","9443972","generic","0","0","0","0","0","0","981"
"SPI1","6688","366126","20375","P17947","Q6BDS1","P17433;Q3U5L4","spleen focus forming virus (SFFV) proviral integration oncogene spi1","OF|PU.1|SFPI1|SPI-1|SPI-A","1","9211934; 10523830","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","10523830","9606","9211934","9606","0","0","0","0","0","0","0","0","981"
"ESR2","2100","25149","13983","F1D8N3;Q0PTK2;Q7LCB3;Q92731","Q59IV8;Q62986","O08537","estrogen receptor 2 (ER beta)","ER-BETA|ESR-BETA|ESRB|ESTRB|ERB|NR3A2","1","9058381; 12047722; 16484337","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","16484337","9606","12047722","9606","9058381","10090","0","0","0","0","0","0","981"
"FOS","2353","314322","14281","P01100;Q6FG41","P12841","P01101","FBJ murine osteosarcoma viral oncogene homolog","AP-1|C-FOS|P55","1","8798512; 11925568; 15073183","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15073183","10090","11925568","9606;10090","8798512","9606","0","0","0","0","0","0","981"
"VDR","7421","24873","22337","F1D8P8;P11473","P13053","P48281","vitamin D (1;25- dihydroxyvitamin D3) receptor","NR1I1","1","8674817; 16750418","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","16750418","9606","8674817","9606","0","0","0","0","0","0","0","0","981"
"HNF1A","6927","24817","21405","P20823","P15257","P22361;Q66JY7","HNF1 homeobox A","HNF-1A|HNF1|IDDM20|LFB1|MODY3|TCF-1|TCF1","1","8373770; 9047360","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","9047360","9606;10090","8373770","10116","0","0","0","0","0","0","0","0","981"
"EGR1","1958","24330","13653","P18146;Q546S1","P08154","P08046;Q544D6;Q8CAT6","early growth response 1","AT225|G0S30|KROX-24|NGFI-A|TIS8|ZIF-268|ZNF225","1","8336701; 9858508","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","9858508","9606;10090","8336701","generic","0","0","0","0","0","0","0","0","981"
"NFATC2","4773","311658","18019","B5B2P4;Q13469","D4A0I8","A2AQC8;B5B2P6;B5B2P7;B5B2P8;B5B2Q2;B5B2Q4;B5B2Q6;B5B2R5;Q3TTU8;Q60591;Q8C443","nuclear factor of activated T-cells; cytoplasmic; calcineurin-dependent 2","NFAT1|NFATP","1","8313907; 8397339; 10692237; 12453415; 14688323","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","14688323","10090","12453415","10090","10692237","9606","8397339","10090","8313907","10090","0","0","981"
"NHLH1","4807","289230","18071","Q02575;Q5T203","D3ZN93","Q02576;Q3UEV3","nescient helix loop helix 1","HEN1|NSCL|NSCL1|BHLHA35","1","8289804; 12878195","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","12878195","9606","8289804","10116","0","0","0","0","0","0","0","0","981"
