probes,entrez,symbol,logFC,adj.P.Val
1431_at,1571,CYP2E1,-2.6294611616324,0.0282068213113656
1494_f_at,1548,CYP2A6,-3.267727366699,0.00209766252040329
1552272_a_at,163154,PRR22,-1.02563143862179,0.0194575729681562
1552280_at,91937,TIMD4,-2.90581464272791,2.72389759202019e-05
1552281_at,283375,SLC39A5,-1.82725387372223,0.00269391584976258
1552325_at,220136,CCDC11,-1.58277274507813,0.0160245876434887
1552334_at,11078,TRIOBP,1.19969374697922,0.00318725021312969
1552349_a_at,260429,PRSS33,-1.12543663006533,0.0473674929484956
1552359_at,157777,MCMDC2,1.36407735521214,0.0357756084849363
1552365_at,85477,SCIN,1.80405163561163,0.0181942117376566
1552399_a_at,2972,BRF1,1.2882772640116,0.0163311979714704
1552411_at,245909,DEFB106A ,-1.1438903638647,0.0123235926605989
1552432_at,162387,MFSD6L,-1.41537308228489,0.000506123618486784
1552436_a_at,64072,CDH23 ,-1.23777995563261,0.00727332161877236
1552440_at,11318,GPR182,-2.42302964198656,0.000184623012671866
1552470_a_at,83451,ABHD11,1.57472610564678,0.032806730736323
1552478_a_at,3664,IRF6,1.27012694481451,0.00674387719617643
1552508_at,23704,KCNE4,-1.84247673424975,0.00758849234905174
1552519_at,130399,ACVR1C,-2.03169875083241,3.90972305850455e-05
1552520_at,157753,TMEM74,1.52003338841797,0.00726931183584092
1552546_a_at,137994,LETM2,-1.18290029358921,0.0175407761488857
1552609_s_at,282616,IFNL2 ,-1.06878893679423,0.00203975550277086
1552616_a_at,32,ACACB,-1.05915031884005,0.0228058201768979
1552618_at,10228,STX6,1.21804550125833,0.00969165373452202
1552619_a_at,54443,ANLN,3.28729967020804,2.44871308160174e-07
1552621_at,5439,POLR2J ,1.55307681671364,4.4149762424192e-05
1552629_a_at,23210,JMJD6,-1.26875291718673,0.0325509994747077
1552631_a_at,9064,MAP3K6,-1.16849068129912,0.0259027361144186
1552670_a_at,79660,PPP1R3B,-1.07187350368777,0.0230049822658596
1552680_a_at,57082,CASC5,1.79847049656297,6.67742911078693e-07
1552715_a_at,59350,RXFP1,-2.19444174408642,0.000101023961515099
1552716_at,79925,SPEF2,1.10840281512487,0.037337026753208
1552731_at,137735,ABRA,-1.31376707072164,0.0123349132987336
1552737_s_at,11060,WWP2,1.48342418003351,0.0185140623094802
1552849_at,130951,M1AP,-1.62571689664811,0.0234850250077826
1552853_at,127731,VWA5B1,-1.23618269260884,0.030694815316861
1552856_at,197196,LINC00311,-1.23431989122432,0.00783766533005447
1552887_at,219793,TBATA,-1.06424578645186,0.0339868578496024
1552898_a_at,170850,KCNG3,-1.1613883962973,0.0357260241649789
1552910_at,114132,SIGLEC11,-1.61247218334211,0.0186679506581457
1552955_at,83655,LINC00208,-1.0116913562664,0.00611008553511484
1552975_x_at,,,-1.57710381389779,0.0272549571905421
1552998_at,245938,DEFB125,-1.03037397852483,0.0286598342983689
1553016_at,165082,GPR113,-1.20930252170236,0.0163460738733129
1553053_at,256369,LINC00521,-1.0913373572326,0.0382939480324647
1553055_a_at,162394,SLFN5,1.804363975243,0.00843430645297858
1553059_at,114771,PGLYRP3,-1.46420117044882,0.00185725419271878
1553079_at,135644,TRIM40,-1.05759723739125,0.0348655471429145
1553133_at,203228,C9orf72,-1.51689795922695,0.00410642114199029
1553151_at,245972,ATP6V0D2,1.68760935822158,0.0181479224662792
1553179_at,171019,ADAMTS19,-1.01148858801565,0.0191481747975903
1553219_a_at,9949,AMMECR1,1.24566228617569,0.0401496966525598
1553229_at,137209,ZNF572,1.80761496792733,0.00531153720315961
1553232_at,151393,RMDN2,-1.35323162677016,0.0019701539334705
1553296_at,84873,GPR128,-3.1695608484094,4.57920626877238e-06
1553301_a_at,130827,TMEM182,1.82242439107424,0.00571498242897488
1553315_at,200172,SLFNL1,-1.44037909607362,0.0194461064847378
1553326_at,122042,RXFP2,-1.26319475550101,0.030272776989814
1553328_a_at,6571,SLC18A2,-1.07864290805603,0.0153785671918114
1553341_at,131669,UROC1,-2.88516727604992,0.0010315609044898
1553364_at,285848,PNPLA1,-1.67029367221237,0.00900768151156211
1553386_at,84879,MFSD2A,-1.29328491950319,0.0478976329272983
1553415_at,246213,SLC17A8,-1.4654886636144,0.0339228864156673
1553424_at,283461,C12orf40,-1.86627422582445,0.00472406850835677
