GOterm,term,Pvalue,NoGOsize,cluster,entrez
1,GO:0006082,organic acid metabolic process,2.02e-40,224;904,C_1_GSE62232,1571;1548;32;131669;137362;875;51302;10003;1579;441024;5743;6777;6898;26027;7299;27068;374569;130752;8876;38;55604;27165;2572;169355;10891;9611;1892;6513;9380;26227;6652;4942;4860;2180;5236;10449;30;4522;35;10613;6515;34;3155;5106;4594;5264;5947;2639;5577;3712;1036;8310;4329;8942;2027;6770;435;1806;229;2731;2819;3029;10020;1573;9945;23464;3081;1962;8864;8564;1638;36;8309;2690;2110;4846;2687;23498;10993;5053;1543;11001;4143;2346;6296;6999;443;1807;33;1491;635;383;552;5444;28234;1592;4051;66002;2875;344;1555;2646;337;570;10249;6716;189;445;6718;7367;10786;6579;9420;1544;10400;6542;1549;6622;1572;8013;863;1562;5740;1558;1553;5105;2805;1312;23576;5860;2053;18;2954;3479;51141;39;2203;9429;1390;6470;5354;27232;8529;594;1374;9104;10157;11343;219595;6309;54490;84869;5446;51099;1559;5161;51422;5322;1557;23305;23428;58510;2194;4644;6569;55256;51181;51660;56898;51703;55268;23417;55753;4482;10998;56606;23569;54988;64577;54363;9227;51557;51733;10841;10826;51702;51179;29968;2693;51268;54996;59344;51166;116519;84649;84706;5166;219743;285440;152926;55526;220963;414328;51;2327;9444;144193;5686;123876;130013;29958;1629;83875;1582;113235;133688;48;166785;134526;95;112817;420;9971;3356
2,GO:0043436,oxoacid metabolic process,1.43e-35,203;831,C_1_GSE62232,1571;1548;32;131669;137362;875;51302;10003;1579;441024;5743;6777;6898;26027;27068;374569;130752;8876;38;27165;2572;10891;9611;1892;6513;9380;26227;6652;4942;2180;5236;10449;30;4522;35;10613;6515;34;3155;5106;4594;5264;5947;2639;5577;3712;1036;8310;4329;8942;2027;6770;435;229;2731;2819;3029;10020;1573;9945;23464;3081;1962;8864;8564;36;8309;2690;2110;4846;2687;23498;10993;5053;1543;11001;4143;2346;6296;443;33;1491;635;383;552;5444;28234;1592;4051;66002;2875;344;1555;337;570;10249;6716;189;445;6718;7367;6579;9420;1544;6542;1549;6622;1572;8013;863;1562;5740;1558;1553;5105;2805;23576;5860;2053;18;2954;3479;51141;39;2203;1390;6470;5354;27232;8529;594;1374;9104;10157;11343;219595;6309;54490;84869;5446;51099;1559;5161;51422;5322;1557;23305;23428;58510;2194;4644;6569;55256;51181;51660;56898;51703;55268;23417;55753;4482;10998;54988;64577;54363;9227;51557;10841;10826;51179;29968;2693;51268;54996;59344;51166;116519;84649;84706;5166;219743;285440;55526;414328;51;9444;144193;5686;123876;130013;29958;1629;83875;1582;133688;48;166785;134526;95;112817;420;9971;3356
3,GO:0019752,carboxylic acid metabolic process,1.83e-35,202;826,C_1_GSE62232,1571;1548;32;131669;137362;875;51302;10003;1579;441024;5743;6777;6898;26027;27068;374569;130752;8876;38;27165;2572;10891;9611;1892;6513;9380;26227;6652;4942;2180;5236;10449;30;4522;35;10613;6515;34;3155;5106;4594;5264;5947;2639;5577;3712;1036;8310;4329;8942;2027;6770;435;229;2731;2819;3029;10020;1573;9945;23464;3081;1962;8864;8564;36;8309;2690;2110;4846;2687;23498;10993;5053;1543;11001;4143;2346;6296;443;33;1491;635;383;552;5444;28234;1592;4051;66002;2875;344;1555;337;570;10249;6716;189;445;6718;7367;6579;9420;1544;6542;1549;6622;1572;8013;863;1562;5740;1558;1553;5105;2805;23576;5860;2053;18;2954;3479;51141;39;2203;1390;6470;5354;27232;8529;594;1374;9104;10157;11343;219595;6309;54490;84869;5446;51099;1559;5161;51422;5322;1557;23305;23428;58510;2194;4644;6569;55256;51181;51660;56898;51703;55268;23417;55753;4482;10998;54988;64577;54363;9227;51557;10841;10826;51179;29968;2693;51268;59344;51166;116519;84649;84706;5166;219743;285440;55526;414328;51;9444;144193;5686;123876;130013;29958;1629;83875;1582;133688;48;166785;134526;95;112817;420;9971;3356
4,GO:0044281,small molecule metabolic process,2.47e-31,337;1847,C_1_GSE62232,1571;1548;32;79660;122042;131669;137362;875;51302;10003;1579;441024;23387;5743;6777;6898;26027;7299;27068;374569;130752;8876;38;55604;27165;221;2572;169355;10891;283209;64788;9611;7057;1892;6513;9380;26227;217;847;3487;6652;4942;1958;4860;2180;5236;10449;30;9414;4522;35;3481;6256;10613;6515;34;2308;3155;5106;4594;5264;5947;4311;2639;6653;6817;5577;3712;5142;1902;132;5138;1036;8310;1910;4329;8942;3931;2027;23541;6770;3158;435;1806;6715;229;2731;222;2819;3029;10020;1080;1573;316;9945;23464;3569;3081;1962;8864;8564;1638;36;8309;653;4886;2690;6947;2110;2395;4846;2687;978;23498;10993;5053;5443;1543;11001;4143;2346;5745;6296;6999;759;1504;1576;443;1807;33;1491;635;154;383;1071;552;126;5444;28234;8431;1592;1621;4051;66002;2875;344;1555;2646;337;570;10249;6716;189;445;6718;6799;339;7367;3953;319;10786;6579;9420;80168;130;2917;1544;10400;6542;1549;124;2260;6622;1572;8013;863;1562;5740;1558;1553;4887;5105;2740;2912;2805;1312;23576;5860;760;2053;18;2954;3479;8542;51141;6818;39;125;7276;2203;9429;8228;1390;6470;3486;5959;5354;7498;27232;8529;9590;2642;594;1374;9104;10157;3651;11343;219595;6309;54490;622;6526;8622;84869;1723;27124;5446;51099;10690;1559;7021;5161;51422;5322;1739;1557;23305;23428;58510;2194;55811;4644;6569;10135;55256;51181;51660;56898;51703;55268;23417;55022;54981;23408;28992;55753;4482;2055;10998;6783;56606;23569;53829;54988;29881;64577;54363;9227;51557;51733;10841;80704;10826;51702;51179;29968;114897;50940;2693;4159;4160;51268;54996;59344;51166;127;116519;84649;84706;5166;55276;27031;219743;53354;285440;152926;55526;220963;414328;51;111;2327;9444;2977;1740;153;120892;144193;27115;5686;123876;130013;554235;151531;29958;1629;107;4717;54511;83875;1582;113235;113026;133688;132954;48;166785;134526;95;112817;5141;420;388581;9971;3356;26007
5,GO:0032787,monocarboxylic acid metabolic process,1.73e-30,143;523,C_1_GSE62232,1571;1548;32;131669;51302;1579;5743;6777;26027;8876;38;10891;9611;1892;9380;6652;2180;5236;10449;30;35;10613;34;5106;4594;5264;5947;2639;5577;3712;1036;8310;8942;2027;6770;229;2731;2819;3029;1573;1962;8864;8564;36;8309;2690;2110;2687;23498;10993;1543;11001;6296;33;552;28234;1592;4051;66002;344;1555;337;570;10249;189;6718;7367;6579;9420;1544;1549;6622;1572;8013;863;1562;5740;1558;1553;5105;2053;3479;51141;39;2203;1390;5354;27232;8529;594;1374;9104;11343;6309;54490;84869;5446;51099;1559;5161;51422;5322;1557;23305;2194;4644;51181;51660;56898;51703;55268;23417;55753;10998;54988;64577;54363;9227;10841;10826;51179;2693;59344;116519;84649;5166;219743;285440;55526;414328;51;9444;144193;123876;1629;83875;1582;133688;166785;134526;112817;9971;3356
6,GO:0016054,organic acid catabolic process,2.25e-29,84;219,C_1_GSE62232,32;131669;875;51302;1579;6898;374569;38;27165;2572;169355;1892;6652;4942;10449;30;35;34;3155;4594;5264;2639;3712;1036;8310;4329;8942;435;2731;23464;3081;1962;8564;36;8309;2110;4846;23498;10993;5053;11001;4143;6999;443;33;1491;383;5444;1592;4051;66002;2875;189;6718;2805;23576;5860;18;2954;39;6470;8529;594;1374;10157;5446;58510;51181;56898;55268;54363;10841;51268;51166;84706;219743;152926;414328;51;144193;130013;1629;166785;112817
7,GO:0044710,single-organism metabolic process,9.61e-27,567;3882,C_1_GSE62232,1571;1548;130399;32;23210;9064;79660;122042;131669;285848;7069;137362;875;51302;10003;9711;1579;441024;55816;23387;5923;5743;6777;6898;84570;26027;7299;93010;64399;27068;5337;374569;1356;130752;8876;119548;38;84269;55604;27165;4588;221;2572;169355;649;24;153642;10891;283209;64788;9611;1843;7057;1892;6513;9380;26227;217;847;3725;3487;7538;10765;6652;3398;4942;1958;4860;2180;5236;10449;30;6422;6385;9414;2633;4522;35;3481;6256;10613;6515;34;5604;2308;3155;5106;5187;1652;4594;5156;5264;2591;5947;4311;1969;2639;6653;26;178;6817;5577;3712;5142;1647;412;7164;2167;1902;4129;6351;132;10912;5138;23166;1036;8310;1910;5507;4329;8942;3931;2027;23541;6770;3158;435;1806;6715;229;3294;2731;2028;4982;222;2819;3029;7039;10020;1080;1573;5345;316;1230;9945;6348;2357;283;23464;101;3569;3081;1962;8864;8564;1638;36;185;8424;8309;6358;3290;653;4886;5502;2690;6947;2110;2395;4846;2687;978;211;2243;23498;10993;2674;8630;5053;5443;10178;1543;2147;11001;4143;4804;2346;6283;5979;415;5745;6296;6999;759;1504;1576;443;1807;33;1491;635;154;383;1071;7480;552;126;866;5444;28234;5199;8431;1592;3037;1621;57447;6010;22977;4051;66002;7010;4908;2875;344;8608;1555;4803;414;2045;2646;337;570;10249;6716;189;3579;445;6718;6799;339;8856;7367;3953;319;10786;2911;6579;5260;11181;9420;80168;1564;130;2917;4616;4018;1544;10400;6542;1549;64816;124;2260;6622;1572;8013;863;1562;5740;1558;1553;4887;5105;2740;5470;2912;151;2805;1312;3397;23576;5860;9902;760;8613;2053;1847;18;2954;3479;8542;51141;11145;6818;39;125;7276;2203;9429;8228;816;3082;1390;6470;2627;3263;1757;3486;20;2534;5959;5354;7498;27232;5023;9362;8529;9590;658;6368;2642;594;10555;1374;9104;2047;10157;3651;10402;7080;11343;219595;6309;148;5600;367;54490;622;4261;5329;375790;30849;4684;6526;815;7074;8622;115817;84869;1723;27124;5446;80765;51099;4916;10690;57134;1577;1559;7021;9509;5161;2248;2998;5008;27163;1759;51422;11221;5322;1739;1557;8871;6642;23305;6347;23428;7148;58510;54979;2194;2778;4586;3493;55811;4644;6569;7477;5587;10135;55256;51181;51660;56898;51703;55240;55268;55214;56034;23417;1486;55022;51171;57161;54981;9388;23408;28992;55224;55753;4482;2055;64762;64359;27087;55512;10998;6783;57733;56606;23569;53829;54988;79831;29881;55576;64577;79689;11093;54363;9227;51557;10164;9464;51733;56547;10841;11173;80157;80704;10826;51702;51179;23566;29968;114897;64850;81577;50940;2658;59340;1133;2693;8822;30814;4159;4160;57406;51268;54996;51151;4915;1191;1040;2940;8945;59344;408;129807;84231;6423;83643;51166;51741;127;51384;116519;84649;7099;84803;80832;54206;84706;5166;55276;27031;219743;3696;53354;285440;152926;254295;284273;55526;220963;29842;260293;414328;51;111;2327;375775;9444;283208;2977;84620;1740;197257;54756;153;11227;161247;120892;144193;83394;27115;10317;5686;57452;123876;130013;131873;554235;389434;79758;151531;29958;9290;1629;107;4717;54511;83875;1582;60675;80339;26074;53345;113235;136227;10495;113026;133688;3753;6899;199974;132954;48;166785;4838;285016;134526;95;112817;7098;151742;7037;5314;168667;5141;420;166929;388581;9971;5597;3356;26007
8,GO:1901565,organonitrogen compound catabolic process,1.34e-24,102;347,C_1_GSE62232,114771;131669;875;6898;374569;38;27165;2572;169355;633;847;4942;4860;1634;6385;3155;290;2639;3712;5142;4129;5138;1036;5549;4329;8942;435;1806;2731;2028;316;1463;23464;3081;8564;36;4846;978;23498;10993;5053;4143;6999;1576;443;1807;33;1491;635;383;1369;1621;2875;189;339;8993;2805;1312;23576;5860;18;2954;6470;1757;7498;594;10157;375790;8622;1577;58510;1486;10894;55512;57733;55576;11093;55821;51733;10841;50940;51268;129807;51166;84735;84706;112483;152926;144193;27115;130013;554235;151531;29958;1629;87769;3423;95;112817;5141;114770;63827
9,GO:0044282,small molecule catabolic process,6.24e-24,98;331,C_1_GSE62232,32;131669;875;51302;1579;6898;374569;38;27165;221;2572;169355;1892;217;6652;4942;5236;10449;30;35;34;3155;4594;5264;2639;3712;1036;8310;4329;8942;2027;435;229;2731;222;3029;23464;3081;1962;8564;36;8309;2110;4846;23498;10993;5053;1543;11001;4143;6999;443;33;1491;383;5444;1592;4051;66002;2875;189;6718;2805;23576;5860;18;2954;39;2203;6470;8529;594;1374;10157;622;5446;10690;58510;51181;56898;55268;54363;10841;51268;51166;127;84706;55276;219743;152926;414328;51;144193;130013;1629;166785;112817;26007
10,GO:0046395,carboxylic acid catabolic process,5.31e-23,70;193,C_1_GSE62232,32;131669;875;51302;6898;374569;38;27165;2572;1892;6652;4942;10449;30;35;34;3155;4594;5264;2639;3712;1036;8310;4329;435;2731;23464;3081;1962;36;8309;2110;4846;10993;5053;11001;4143;443;33;383;5444;1592;2875;189;6718;2805;23576;5860;18;2954;39;6470;1374;10157;5446;58510;51181;56898;55268;54363;10841;51268;51166;84706;219743;414328;51;144193;166785;112817
