Normal,Tumor
1007_s_at,9.807121576264,9.86162640479905
1053_at,8.66274944043707,9.19558530267047
117_at,7.78952593900451,7.65166349762282
121_at,9.63885988413265,9.52693341118011
1255_g_at,3.98938252532897,4.08827633010976
1294_at,9.10264614845235,9.31755250255929
1316_at,7.48320638958507,7.25857201492499
1320_at,5.80216887833296,5.69176475208991
1405_i_at,8.48886214499983,8.38729139688475
1431_at,15.8271273800693,13.1976662184369
1438_at,5.10951551067688,4.53681430090893
1487_at,10.5595124920946,10.4436937857554
1494_f_at,15.499448862008,12.231721495309
1552256_a_at,12.1193069349962,12.3987020019234
1552257_a_at,10.3066467603403,10.2679543647717
1552258_at,6.0173744894336,6.53514678512472
1552261_at,4.15348389043571,3.90306846849708
1552263_at,7.78022168839722,7.82496481509826
1552264_a_at,8.31827045753194,8.75377039183652
1552266_at,4.64364434373352,5.07898218401618
1552269_at,3.32045070351,3.38455724814086
1552271_at,6.15702877833657,5.44221508364263
1552272_a_at,7.58226627808899,6.5566348394672
1552274_at,8.54965281688686,8.90001053732674
1552275_s_at,6.34871303935882,7.26748483702847
1552276_a_at,6.1549329086506,5.89825331449294
1552277_a_at,9.13003148924395,9.36265778525055
1552278_a_at,8.69749612614005,8.47990994617392
1552279_a_at,9.37915926641211,9.57421076037639
1552280_at,8.23618291337137,5.33036827064346
1552281_at,11.7927748960893,9.96552102236711
1552283_s_at,8.63196177761982,7.90025559023695
1552286_at,6.84609760217943,7.29401843731948
1552287_s_at,8.12670808535711,8.25486022259441
1552288_at,4.03610838369557,4.15150503712566
1552289_a_at,6.35662337620967,5.94849300055252
1552291_at,8.18639888340858,8.67694479857582
1552293_at,5.14681862573905,4.55315046033567
1552295_a_at,8.00010582448289,8.5876253239832
1552296_at,4.16568198703578,4.30530092412788
1552299_at,6.10396666424413,5.98762097673103
1552301_a_at,7.23530320711948,6.71812881515832
1552302_at,6.57172935074999,6.91200151875697
1552303_a_at,6.89941656314941,6.89293010798991
1552304_at,5.2603083327259,5.16773486136787
1552306_at,7.17915535873779,6.82247285588832
1552307_a_at,11.6901291949871,11.3129215448605
1552309_a_at,7.8675594872527,7.12849520036999
1552310_at,8.96291847687106,9.31423489741774
1552311_a_at,8.1125767768534,7.87615787997078
1552312_a_at,6.81636125190195,7.48429223676067
1552314_a_at,6.29591187246164,6.22275020406358
1552315_at,6.61615228140202,6.96465588257259
1552316_a_at,7.92016131154994,8.12541977621755
1552318_at,7.42856606527812,7.54116278692219
1552319_a_at,6.78753441721005,6.66186242704099
1552320_a_at,4.88402589723371,5.23136214091269
1552321_a_at,2.97029135794131,2.91353406206724
1552322_at,2.96259446166969,4.38042436574113
1552323_s_at,6.13419162541191,6.50163640245627
1552325_at,5.45822441160944,3.87545166653131
1552326_a_at,5.04967283748831,4.87691477721063
1552327_at,5.97638584142216,5.75759045513459
1552329_at,8.50206063551843,8.38473687960102
1552330_at,8.77575082132267,8.952961269651
1552332_at,6.46337255639947,6.25523983353946
1552334_at,6.13074644774872,7.33044019472794
1552335_at,5.44791343330878,5.1267531073198
1552337_s_at,5.1317709830145,4.63422582389231
1552338_at,2.91846724164005,2.31915181281506
1552340_at,4.42421448222042,4.21306566599104
1552343_s_at,6.30687695629075,6.88088077663575
1552344_s_at,8.23371848815908,7.91330235660328
1552347_at,8.32594179589182,8.75362326087754
1552348_at,6.16977304603462,6.0798492220681
1552349_a_at,5.80830725930777,4.68287062924244
1552354_at,4.14746995314161,3.5040980909495
1552355_s_at,4.71841211705645,4.35211808817929
1552359_at,4.21772261775861,5.58179997297075
1552360_a_at,7.99872272368088,8.35647762144537
1552362_a_at,14.1682826550674,13.4608428905491
1552364_s_at,6.25352796180542,7.02235851491555
1552365_at,3.02570159409876,4.8297532297104
1552367_a_at,3.32124402209628,3.03343126137589
1552368_at,5.29012367503549,4.21776502775344
1552370_at,7.78564371589484,7.28308453289489
1552372_at,2.66697900916415,1.70886105028544
1552373_s_at,4.27583227511033,3.58028991574363
1552375_at,6.44565487877945,6.65383995995244
1552377_s_at,8.18221005794236,7.80999993794911
1552378_s_at,7.74848808293862,8.27360313547576
1552379_at,4.45436338653052,3.03525965632297
1552381_at,5.10388662884918,4.62673454117974
1552383_at,7.32383799775997,6.9131557070143
1552384_a_at,5.70836752158011,5.00854973977572
1552386_at,6.27339981952323,5.44921201855774
1552388_at,5.95557904720232,5.78661362066719
1552389_at,6.41111501241415,7.90453727276565
1552390_a_at,8.01462028575066,9.33477928170509
1552391_at,5.2081216718623,4.99764211878656
1552393_at,3.89063487514613,3.60459898053476
1552394_a_at,3.26925570226854,3.16677341493758
1552395_at,5.70729471466588,5.18593974578014
1552396_at,6.05162657835733,5.16253682493498
1552398_a_at,5.71958985085683,5.09426107998555
1552399_a_at,4.09342869268043,5.38170595669203
1552400_a_at,7.39424606006105,7.22476910543853
1552401_a_at,4.94018712326687,5.45063006909171
1552402_at,6.06335716710507,5.63061619311534
1552405_at,4.87790049949302,4.76939702123599
1552408_at,3.85518397489715,4.3248420869881
1552409_a_at,4.70460198142169,4.31547078131435
1552410_at,6.49843774385992,6.06123319576058
1552411_at,8.50702015223629,7.36312978837158
1552412_a_at,4.21068707614593,2.98198151753387
1552414_at,6.38275984323151,5.62729784709086
1552415_a_at,7.33006935672202,6.81864434014552
1552417_a_at,6.89356765700433,7.70354903576055
1552418_at,4.11637190527721,3.1558667745842
1552419_s_at,7.09105555727384,6.98768765384122
1552421_a_at,4.89922422007402,4.1155047754782
1552422_at,6.86305134061074,6.48116993699895
1552423_at,6.7912749451374,6.90249878287215
1552424_at,2.35371629780149,2.27846297190125
1552425_a_at,4.82822674518756,5.02937436308016
1552426_a_at,11.9811713282744,11.7346345191176
1552427_at,5.29390161696144,5.9096391882457
1552430_at,5.17287020897442,4.19013781650097
1552432_at,6.04423056336472,4.62885748107982
1552436_a_at,5.77732098093451,4.5395410253019
1552438_a_at,5.97476688364597,4.96063272045204
1552439_s_at,2.45096101779079,2.22037194523639
1552440_at,8.2340854542308,5.81105581224424
1552445_a_at,5.3175370540783,4.53433262770406
1552448_a_at,3.62193812930927,2.99493607119306
1552449_a_at,2.9278214400576,2.83706823562006
1552450_a_at,6.11712603911014,5.22180851916235
1552452_at,2.98378594245564,3.0475942268703
1552453_a_at,2.91735376919429,2.47776022024351
1552455_at,3.47606327739258,4.01083162928886
1552456_a_at,5.09693470052121,4.37881160302181
1552457_a_at,2.85024971327155,2.91034405911086
1552458_at,5.13857872752703,5.33593739510294
1552459_a_at,4.65418722774533,4.16261357977382
1552461_at,4.70548914159721,4.04636352176372
1552463_at,5.59100681215324,5.1804055484683
1552466_x_at,2.09485881196188,2.66110145169658
1552467_at,5.7110073195164,5.44211468711129
1552468_a_at,6.45172784133796,5.98653852698653
1552470_a_at,3.43924360898991,5.01396971463669
1552472_a_at,7.95240758977096,8.40297974691423
1552473_at,11.0902838175552,10.1397368295348
1552474_a_at,12.5482020223989,11.7999721822998
1552476_s_at,6.54928042542207,6.19154003279465
1552477_a_at,8.96687129364567,9.76746448350559
1552478_a_at,7.02453820075281,8.29466514556732
1552480_s_at,3.96243289643915,4.38108658256266
1552481_s_at,6.61002942622623,6.84284984522048
1552482_at,8.95095349154739,8.84308526025873
1552484_at,6.64841531750421,6.17235865294851
1552485_at,7.85710295788356,8.39509290137357
1552486_s_at,9.1892453117794,9.27964806584541
1552487_a_at,3.05248312052013,2.59337833550879
1552489_s_at,3.91688698099003,3.98014013111492
1552490_at,6.13043572426813,6.28584325370113
1552491_at,4.32269827277268,4.87588592054835
1552493_s_at,4.13042294594824,4.25046395643737
1552494_at,5.5209147535992,4.61405376868056
1552496_a_at,8.58509199481894,7.82046559748967
1552497_a_at,7.96017175784274,7.38296031173457
1552498_at,6.90072095430408,6.23277973090727
1552499_a_at,4.91922552100452,4.89244691509096
1552501_a_at,4.42312915112233,5.18061228932875
1552502_s_at,3.65507073148626,4.26415168145079
1552503_at,5.25651897946193,5.158238570815
1552504_a_at,7.61075256975681,8.61982715737738
1552506_at,4.51019390480347,4.38810618550694
1552507_at,6.58784911853701,5.75374366370388
1552508_at,6.83165469086054,4.9891779566108
1552509_a_at,6.57879703374,6.46789525663974
1552510_at,9.52996677558612,9.12072278935514
1552511_a_at,2.9562926526101,3.06124272080469
